initial equation: 1.848x-0.832y-59.947=0
learning rate: 0.0004
(T=  1) equation: 1.055x-0.999y-59.958=0, error: 23.00%
(T=372) equation: 0.958x-1.069y-59.800=0, error: 12.00%
(T=373) equation: 0.957x-1.068y-59.799=0, error: 12.00%
(T=374) equation: 0.957x-1.067y-59.799=0, error: 12.00%
(T=375) equation: 0.956x-1.066y-59.799=0, error: 12.00%
(T=376) equation: 0.956x-1.065y-59.798=0, error: 12.00%
(T=377) equation: 0.955x-1.065y-59.798=0, error: 12.00%
(T=378) equation: 0.955x-1.064y-59.797=0, error: 12.00%
(T=379) equation: 0.951x-1.066y-59.797=0, error: 12.00%
(T=380) equation: 0.947x-1.069y-59.797=0, error: 12.00%
(T=381) equation: 0.975x-1.067y-59.796=0, error: 15.00%
(T=382) equation: 0.971x-1.068y-59.795=0, error: 14.00%
(T=383) equation: 0.967x-1.068y-59.795=0, error: 14.00%
(T=384) equation: 0.965x-1.068y-59.795=0, error: 14.00%
(T=385) equation: 0.962x-1.068y-59.794=0, error: 12.00%
(T=386) equation: 0.960x-1.069y-59.794=0, error: 12.00%
(T=387) equation: 0.958x-1.069y-59.793=0, error: 12.00%
(T=388) equation: 0.956x-1.069y-59.793=0, error: 12.00%
(T=389) equation: 0.955x-1.068y-59.793=0, error: 12.00%
(T=390) equation: 0.955x-1.067y-59.792=0, error: 12.00%
(T=391) equation: 0.951x-1.070y-59.792=0, error: 12.00%
(T=392) equation: 0.947x-1.072y-59.791=0, error: 12.00%
(T=393) equation: 0.975x-1.071y-59.791=0, error: 15.00%
(T=394) equation: 0.971x-1.071y-59.790=0, error: 14.00%
(T=395) equation: 0.967x-1.072y-59.790=0, error: 14.00%
(T=396) equation: 0.965x-1.072y-59.789=0, error: 13.00%
(T=397) equation: 0.962x-1.072y-59.789=0, error: 12.00%
(T=398) equation: 0.960x-1.072y-59.789=0, error: 12.00%
(T=399) equation: 0.958x-1.072y-59.788=0, error: 12.00%
(T=400) equation: 0.958x-1.072y-59.788=0, error: 12.00%
(T=401) equation: 0.957x-1.071y-59.787=0, error: 12.00%
(T=402) equation: 0.957x-1.070y-59.787=0, error: 12.00%
(T=403) equation: 0.956x-1.069y-59.787=0, error: 12.00%
(T=404) equation: 0.956x-1.068y-59.786=0, error: 12.00%
(T=405) equation: 0.955x-1.067y-59.786=0, error: 12.00%
(T=406) equation: 0.955x-1.067y-59.785=0, error: 12.00%
(T=407) equation: 0.951x-1.069y-59.785=0, error: 12.00%
(T=408) equation: 0.947x-1.072y-59.785=0, error: 12.00%
(T=409) equation: 0.975x-1.070y-59.784=0, error: 15.00%
(T=410) equation: 0.971x-1.070y-59.783=0, error: 14.00%
